Iteration,Discriminator Loss,Generator Loss
7520,0.500586,1.700410
7530,0.486352,1.788507
7540,0.489693,1.473554
7550,0.469212,1.206177
7560,0.449943,1.270672
7570,0.519270,1.475178
7580,0.534250,1.489068
7590,0.539180,1.683934
7600,0.478359,1.604399
7610,0.509383,1.411627
7620,0.526474,1.595760
7630,0.521137,1.528838
7640,0.404923,1.753573
7650,0.430512,1.375973
7660,0.490091,1.641828
7670,0.529067,1.542055
7680,0.486053,1.569945
7690,0.561720,1.464771
7700,0.575076,1.592165
7710,0.493996,1.629830
7720,0.481659,1.478470
7730,0.547864,1.493402
7740,0.492265,1.474392
7750,0.397078,1.572069
7760,0.567957,1.414573
7770,0.458631,1.738203
7780,0.408957,1.243750
7790,0.478526,1.933398
7800,0.455769,1.788723
7810,0.513798,1.653048
7820,0.570424,1.529779
7830,0.577791,1.647313
7840,0.462692,1.643842
7850,0.477903,1.806451
7860,0.549488,1.425150
7870,0.496331,1.700207
7880,0.429533,1.409445
7890,0.543622,1.703571
7900,0.518175,1.542353
7910,0.397928,2.244090
7920,0.471731,1.604059
7930,0.521701,1.518932
7940,0.512465,1.727815
7950,0.461872,1.595901
7960,0.556134,1.728581
7970,0.570175,1.513947
7980,0.484612,1.542061
7990,0.400886,1.649368
8000,0.483736,1.765770
8010,0.422145,1.539102
8020,0.452358,1.483261
8030,0.465997,1.447572
8040,0.558615,1.539723
8050,0.436377,1.433284
8060,0.520970,1.220794
8070,0.468246,1.282100
8080,0.507398,1.448615
8090,0.520922,1.513564
8100,0.422055,1.360185
8110,0.484559,1.676376
8120,0.456886,1.265553
8130,0.438221,1.450346
8140,0.519988,1.546988
8150,0.500541,1.524497
8160,0.460209,1.550833
8170,0.486233,1.627609
8180,0.420343,1.828701
8190,0.474028,1.665849
8200,0.485553,1.639979
8210,0.418356,1.563589
8220,0.537875,1.314227
8230,0.538339,1.721046
8240,0.502953,1.595215
8250,0.494918,1.827248
8260,0.402547,1.616931
8270,0.449241,1.340755
8280,0.459355,1.668555
8290,0.511292,1.419088
8300,0.468208,1.855952
8310,0.421782,1.726234
8320,0.480149,1.161902
8330,0.531589,1.149639
8340,0.574048,1.172218
8350,0.460591,1.669724
8360,0.462070,1.709167
8370,0.368475,1.508011
8380,0.438849,1.447356
8390,0.499417,1.630600
8400,0.622117,1.463250
8410,0.481289,1.829266
8420,0.542882,1.577054
8430,0.445513,1.480421
8440,0.500607,1.675932
8450,0.444943,1.854882
8460,0.445132,1.451800
8470,0.493569,1.441502
8480,0.468640,1.708980
8490,0.533116,1.524394
8500,0.516372,1.618476
8510,0.549551,1.538388
8520,0.404292,1.840883
8530,0.454975,1.638497
8540,0.526677,1.442259
8550,0.507306,1.455995
8560,0.462756,1.351941
8570,0.509303,1.755193
8580,0.516302,1.538959
8590,0.558764,1.611621
8600,0.516773,1.499259
8610,0.419660,1.937186
8620,0.483542,1.216124
8630,0.447919,1.394191
8640,0.497746,2.008129
8650,0.477511,1.447506
8660,0.450073,1.422737
8670,0.412128,1.803991
8680,0.520052,1.338746
8690,0.491758,1.550427
8700,0.426476,1.731207
8710,0.574835,1.411278
8720,0.410028,1.729072
8730,0.495732,1.617980
8740,0.509466,1.559502
8750,0.482537,1.762100
8760,0.447873,1.668194
8770,0.541301,1.382575
8780,0.458035,1.687916
8790,0.523852,1.578280
8800,0.471254,1.775125
8810,0.469056,1.549065
8820,0.520240,1.590856
8830,0.567191,1.685772
8840,0.523185,1.528497
8850,0.465790,1.467928
8860,0.569246,1.379174
8870,0.543009,1.674014
8880,0.521920,1.456282
8890,0.447773,1.733599
8900,0.530878,1.592535
8910,0.551746,1.487597
8920,0.458448,1.520043
8930,0.480857,1.542735
8940,0.445827,1.618066
8950,0.558984,1.685423
8960,0.467989,1.664328
8970,0.458396,1.572650
8980,0.491445,1.601578
8990,0.449074,1.326309
9000,0.499459,1.571064
9010,0.537018,1.621133
9020,0.483734,1.850102
9030,0.455392,1.604010
9040,0.465314,1.382687
9050,0.424680,1.636776
9060,0.423201,1.489299
9070,0.502044,1.469352
9080,0.463154,1.565149
9090,0.517402,1.317708
9100,0.385620,1.850093
9110,0.467395,1.618155
9120,0.533855,1.708862
9130,0.513038,1.550194
9140,0.450455,1.486508
9150,0.464405,1.692873
9160,0.532496,1.450003
9170,0.420548,1.597708
9180,0.512161,1.593451
9190,0.577406,1.358349
9200,0.473519,1.596301
9210,0.522115,1.617410
9220,0.475719,1.483508
9230,0.492641,1.853583
9240,0.448540,1.359762
9250,0.521237,1.422041
9260,0.384317,2.040262
9270,0.403590,1.767369
9280,0.510585,1.487701
9290,0.518252,1.432962
9300,0.392216,1.991359
9310,0.439261,2.068206
9320,0.363839,1.391232
9330,0.499645,1.709126
9340,0.522342,1.410712
9350,0.480625,1.716084
9360,0.442119,1.723875
9370,0.473228,1.875162
9380,0.566139,1.582844
9390,0.509673,1.814598
9400,0.523410,1.476517
9410,0.452889,1.670302
9420,0.462694,1.650494
9430,0.562983,1.545408
9440,0.514942,1.620831
9450,0.461986,1.598544
9460,0.595849,1.597221
9470,0.462663,1.603681
9480,0.530229,1.660339
9490,0.474378,1.647536
9500,0.487355,1.718117
9510,0.534527,1.640950
9520,0.497317,1.595244
9530,0.463813,1.935864
9540,0.347131,1.833788
9550,0.350258,2.297809
9560,0.449053,1.459387
9570,0.457603,1.705163
9580,0.420174,2.126513
9590,0.485513,1.860278
9600,0.483938,1.659388
9610,0.532413,1.818354
9620,0.482972,1.404173
9630,0.489286,1.893275
